Date,Open,High,Low,Close
2000-01-03 00:00:00+00:00,7593.159682686406,7672.295703818003,7216.074793408276,7398.6664814427495
2000-01-04 00:00:00+00:00,7274.6041590316745,7429.615431643173,7043.765612385319,7146.760116647929
2000-01-05 00:00:00+00:00,7129.090530390388,7360.273179003691,6932.420300091971,7191.772845577449
2000-01-06 00:00:00+00:00,7169.361325242625,7404.63357540201,6951.900690218333,7155.279478318989
2000-01-07 00:00:00+00:00,7217.083061148507,7515.0000963012135,7093.736653794746,7412.509898174554
2000-01-10 00:00:00+00:00,7504.912775958546,7679.555743538247,7313.9839734171865,7500.873584162444
2000-01-11 00:00:00+00:00,7491.54140868451,7639.913696264455,7279.545849726716,7390.641825083643
2000-01-12 00:00:00+00:00,7421.21534490055,7566.75450105281,7222.151706437327,7360.953087937087
2000-01-13 00:00:00+00:00,7418.656037486132,7621.90754121109,7272.608625769507,7495.558391105384
2000-01-14 00:00:00+00:00,7581.178604627885,7772.945185743612,7426.028724033625,7618.401503033936
2000-01-18 00:00:00+00:00,7566.723601251023,7734.534690468548,7380.822285996411,7555.40025222674
2000-01-19 00:00:00+00:00,7558.002264869001,7770.607733366169,7418.91131830066,7600.203306086361
2000-01-20 00:00:00+00:00,7641.515393026063,7744.7511500932005,7387.706318992202,7559.433096688241
2000-01-21 00:00:00+00:00,7612.371104500931,7764.074118232437,7381.009587635519,7599.111962385476
2000-01-24 00:00:00+00:00,7644.299085931023,7759.056721369814,7317.493661102029,7410.526321418583
2000-01-25 00:00:00+00:00,7439.830424763066,7615.416377347107,7218.160270292432,7462.237227562815
2000-01-26 00:00:00+00:00,7474.224084070494,7678.095613446589,7327.980971473458,7512.268408294767
2000-01-27 00:00:00+00:00,7544.485862660512,7691.892472104045,7296.883776047136,7454.184567935765
2000-01-28 00:00:00+00:00,7401.498606505536,7520.910827046468,7114.109508763789,7229.663209442049
2000-01-31 00:00:00+00:00,7226.7353331438335,7401.634208917482,7002.284858040674,7275.189077556133
2000-02-01 00:00:00+00:00,7287.2929104803525,7437.9446747493,7122.843057107997,7320.823525194079
2000-02-02 00:00:00+00:00,7330.384845193668,7503.640452274079,7189.016601740449,7341.0537575259805
2000-02-03 00:00:00+00:00,7387.027858345016,7560.927213789513,7217.9785911905155,7430.607240561396
2000-02-04 00:00:00+00:00,7479.209873979448,7610.511500989037,7279.7995690188445,7417.1050134934485
2000-02-07 00:00:00+00:00,7405.8019359845075,7525.846599404666,7224.951995478386,7376.049616277218
2000-02-08 00:00:00+00:00,7414.91204410185,7555.647799603092,7238.968827001727,7413.472268443555
2000-02-09 00:00:00+00:00,7427.312763729073,7536.924811272713,7214.45547417753,7331.095352534205
2000-02-10 00:00:00+00:00,7365.9521684906995,7519.415683315885,7162.609983206697,7338.170376904309
2000-02-11 00:00:00+00:00,7362.67125909425,7469.375037600722,7128.553635830742,7246.225414521992
2000-02-14 00:00:00+00:00,7277.54041851046,7400.4578729924215,7092.6562124025995,7233.545772381127
2000-02-15 00:00:00+00:00,7245.021186759317,7432.448354010072,7079.097671160462,7318.376868255436
2000-02-16 00:00:00+00:00,7317.787824752182,7482.764761795019,7172.397360920258,7325.748975403607
2000-02-17 00:00:00+00:00,7379.43781877852,7583.5529484296585,7183.060294270647,7414.412479586899
2000-02-18 00:00:00+00:00,7388.226793978391,7493.419918926828,7106.849590919725,7214.998988676816
2000-02-22 00:00:00+00:00,7217.19756152966,7362.7135607853315,6974.731665336965,7174.004945889115
2000-02-23 00:00:00+00:00,7183.107750579823,7418.621012492643,7044.847840951135,7269.380548011512
2000-02-24 00:00:00+00:00,7308.301169835443,7461.009585185765,7061.4392494787435,7300.360458858311
2000-02-25 00:00:00+00:00,7297.329037536998,7459.7125825101075,7088.012996621501,7231.531293079257
2000-02-28 00:00:00+00:00,7256.497433280907,7448.390923579625,7047.895512771977,7273.1091100052
2000-02-29 00:00:00+00:00,7338.986909149746,7594.697564035524,7194.17215438364,7455.473971616477
2000-03-01 00:00:00+00:00,7509.567724261547,7717.089868481748,7304.82473344804,7526.022025655955
2000-03-02 00:00:00+00:00,7553.028643333643,7705.960002166214,7305.0445100457155,7485.601862501353
2000-03-03 00:00:00+00:00,7595.433262937715,7801.787996125971,7427.348434638767,7649.359263192862
2000-03-06 00:00:00+00:00,7663.331341284924,7944.292336461488,7440.668038566781,7698.558308850974
2000-03-07 00:00:00+00:00,7735.544431737363,7853.843123903907,7269.947450589657,7429.804054565728
2000-03-08 00:00:00+00:00,7486.505632963797,7686.319059867898,7182.324743092264,7481.063611995429
